Mouser Part Number,Mfr Part Number,Mfr.,Datasheet,Availability,Pricing,RoHS,Lifecycle,Product Detail,Product,Logic Function,Logic Family,Number of Gates,Number of Input Lines,Number of Output Lines,High Level Output Current,Low Level Output Current,Propagation Delay Time,Supply Voltage - Max,Supply Voltage - Min,Minimum Operating Temperature,Maximum Operating Temperature,Mounting Style,Package/Case,Packaging
595-CD74HC32EE4,CD74HC32EE4,Texas Instruments,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=26&gotoUrl=https://www.ti.com/lit/gpn/cd74hc32,"1,180  In Stock","=""$1.05""",RoHS Compliant,,https://au.mouser.com/ProductDetail/Texas-Instruments/CD74HC32EE4?qs=xFfolx0DHx3KUZ2O2iMjlg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=CD74HC32EE4&utm_content=Texas-Instruments,Single-Function Gates,OR,HC,4 Gate,8 Input,4 Output,- 5.2 mA,5.2 mA,15 ns,6 V,2 V,- 55 C,+ 125 C,Through Hole,PDIP-14,Tube
595-CD74HCT32EE4,CD74HCT32EE4,Texas Instruments,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=26&gotoUrl=https://www.ti.com/lit/gpn/cd74hct32,195  In Stock,"=""$1.28""",RoHS Compliant,,https://au.mouser.com/ProductDetail/Texas-Instruments/CD74HCT32EE4?qs=xFfolx0DHx2nbN4wbr6qGA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=CD74HCT32EE4&utm_content=Texas-Instruments,Single-Function Gates,OR,HCT,4 Gate,8 Input,4 Output,- 4 mA,4 mA,24 ns,5.5 V,4.5 V,- 55 C,+ 125 C,Through Hole,PDIP-14,Tube
595-CD4081BE,CD4081BE,Texas Instruments,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=26&gotoUrl=https://www.ti.com/lit/gpn/cd4081b,"15,093  In Stock","=""$1.13""",RoHS Compliant,,https://au.mouser.com/ProductDetail/Texas-Instruments/CD4081BE?qs=dQbkqP7qjaZ0jSz5I7zHYA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=CD4081BE&utm_content=Texas-Instruments,Single-Function Gates,AND,CD4000,4 Gate,8 Input,4 Output,- 6.8 mA,6.8 mA,60 ns,18 V,3 V,- 55 C,+ 125 C,Through Hole,PDIP-14,Tube
595-CD4023BEE4,CD4023BEE4,Texas Instruments,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=26&gotoUrl=https://www.ti.com/lit/gpn/cd4023b,"1,080  In Stock","=""$1.36""",RoHS Compliant,,https://au.mouser.com/ProductDetail/Texas-Instruments/CD4023BEE4?qs=HTr%252BoA4jRil%252BXERw7u%252BFHg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=CD4023BEE4&utm_content=Texas-Instruments,Single-Function Gates,NAND,CD4000,3 Gate,9 Input,3 Output,- 6.8 mA,6.8 mA,60 ns,18 V,3 V,- 55 C,+ 125 C,Through Hole,PDIP-14,Tube
595-74ACT11032NE4,74ACT11032NE4,Texas Instruments,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=26&gotoUrl=https://www.ti.com/lit/gpn/74act11032,263  In Stock,"=""$4.83""",RoHS Compliant,,https://au.mouser.com/ProductDetail/Texas-Instruments/74ACT11032NE4?qs=yhNIDeTE%252Bcb0UZT3WEUQXw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=74ACT11032NE4&utm_content=Texas-Instruments,Single-Function Gates,OR,ACT,4 Gate,8 Input,4 Output,- 24 mA,24 mA,6.2 ns,5.5 V,4.5 V,- 40 C,+ 85 C,Through Hole,PDIP-16,Tube
595-CD4025BEE4,CD4025BEE4,Texas Instruments,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=26&gotoUrl=https://www.ti.com/lit/gpn/cd4025b,482  In Stock,"=""$1.43""",RoHS Compliant,,https://au.mouser.com/ProductDetail/Texas-Instruments/CD4025BEE4?qs=HTr%252BoA4jRik3OPx6eUsmLg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=CD4025BEE4&utm_content=Texas-Instruments,Single-Function Gates,NOR,CD4000,3 Gate,9 Input,3 Output,- 6.8 mA,6.8 mA,60 ns,18 V,3 V,- 55 C,+ 125 C,Through Hole,PDIP-14,Tube
595-SN74LS86ANE4,SN74LS86ANE4,Texas Instruments,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=26&gotoUrl=https://www.ti.com/lit/gpn/sn74ls86a,"1,108  In Stock","=""$1.31""",RoHS Compliant,,https://au.mouser.com/ProductDetail/Texas-Instruments/SN74LS86ANE4?qs=UG%2F8xqv%2F6WdUoTaDIpbxrw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SN74LS86ANE4&utm_content=Texas-Instruments,Single-Function Gates,XOR,LS,4 Gate,8 Input,4 Output,- 400 uA,8 mA,20 ns,5.25 V,4.75 V,0 C,+ 70 C,Through Hole,PDIP-14,Tube
595-CD74AC20E,CD74AC20E,Texas Instruments,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=26&gotoUrl=https://www.ti.com/lit/gpn/cd74ac20,"1,065  In Stock","=""$1.49""",RoHS Compliant,,https://au.mouser.com/ProductDetail/Texas-Instruments/CD74AC20E?qs=bvpNxolhIUP11ckaxDwD7A%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=CD74AC20E&utm_content=Texas-Instruments,Single-Function Gates,NAND,AC,2 Gate,8 Input,2 Output,- 24 mA,24 mA,12.2 ns,5.5 V,1.5 V,- 55 C,+ 125 C,Through Hole,PDIP-14,Tube
595-CD4011BE,CD4011BE,Texas Instruments,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=26&gotoUrl=https://www.ti.com/lit/gpn/cd4011b,"22,729  In Stock","=""$0.859""",RoHS Compliant,,https://au.mouser.com/ProductDetail/Texas-Instruments/CD4011BE?qs=st7IWvlL5%2FgbunuzXw39Lg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=CD4011BE&utm_content=Texas-Instruments,Single-Function Gates,NAND,CD4000,4 Gate,8 Input,4 Output,- 6.8 mA,6.8 mA,60 ns,18 V,3 V,- 55 C,+ 125 C,Through Hole,PDIP-14,Tube
595-CD4082BEE4,CD4082BEE4,Texas Instruments,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=26&gotoUrl=https://www.ti.com/lit/gpn/cd4082b,"1,143  In Stock","=""$1.22""",RoHS Compliant,,https://au.mouser.com/ProductDetail/Texas-Instruments/CD4082BEE4?qs=HTr%252BoA4jRinkkqvflbAJbQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=CD4082BEE4&utm_content=Texas-Instruments,Single-Function Gates,AND,CD4000,2 Gate,8 Input,2 Output,- 6.8 mA,6.8 mA,60 ns,18 V,3 V,- 55 C,+ 125 C,Through Hole,PDIP-14,Tube
595-CD4572UBEE4,CD4572UBEE4,Texas Instruments,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=26&gotoUrl=https://www.ti.com/lit/gpn/cd4572ub,357  In Stock,"=""$3.06""",RoHS Compliant,,https://au.mouser.com/ProductDetail/Texas-Instruments/CD4572UBEE4?qs=HTr%252BoA4jRilTme890hfCEA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=CD4572UBEE4&utm_content=Texas-Instruments,Configurable Multiple-Function Gates,"NAND, NOR, Inverter",CD4000,6 Gate,8 Input,1 Output,- 6.8 mA,6.8 mA,40 ns,18 V,3 V,- 55 C,+ 125 C,Through Hole,PDIP-16,Tube
595-SN74LS11NE4,SN74LS11NE4,Texas Instruments,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=26&gotoUrl=https://www.ti.com/lit/gpn/sn74ls11,991  In Stock,"=""$1.49""",RoHS Compliant,,https://au.mouser.com/ProductDetail/Texas-Instruments/SN74LS11NE4?qs=SL3LIuy2dWzy1xEz4RR1WQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SN74LS11NE4&utm_content=Texas-Instruments,Single-Function Gates,AND,LS,3 Gate,9 Input,3 Output,- 400 uA,8 mA,10 ns,5.25 V,4.75 V,0 C,+ 70 C,Through Hole,PDIP-14,Tube
595-SN74AHCT132N,SN74AHCT132N,Texas Instruments,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=26&gotoUrl=https://www.ti.com/lit/gpn/sn74ahct132,"2,548  In Stock","=""$1.25""",RoHS Compliant,,https://au.mouser.com/ProductDetail/Texas-Instruments/SN74AHCT132N?qs=b0gIXGU74fPl3IUCZE74OQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SN74AHCT132N&utm_content=Texas-Instruments,Single-Function Gates,NAND,AHCT,4 Gate,8 Input,4 Output,- 8 mA,8 mA,6.5 ns,5.5 V,4.5 V,- 40 C,+ 85 C,Through Hole,PDIP-14,Tube
595-SN74HC10NE4,SN74HC10NE4,Texas Instruments,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=26&gotoUrl=https://www.ti.com/lit/gpn/sn74hc10,230  In Stock,"=""$1.25""",RoHS Compliant,,https://au.mouser.com/ProductDetail/Texas-Instruments/SN74HC10NE4?qs=AgY10sKTvDIgfHULZlg4JA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SN74HC10NE4&utm_content=Texas-Instruments,Single-Function Gates,NAND,HC,3 Gate,9 Input,3 Output,- 5.2 mA,5.2 mA,9 ns,6 V,2 V,- 40 C,+ 85 C,Through Hole,PDIP-14,Tube
595-CD4011UBEE4,CD4011UBEE4,Texas Instruments,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=26&gotoUrl=https://www.ti.com/lit/gpn/cd4011ub,745  In Stock,"=""$1.28""",RoHS Compliant,,https://au.mouser.com/ProductDetail/Texas-Instruments/CD4011UBEE4?qs=HTr%252BoA4jRinJNauBhIS10Q%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=CD4011UBEE4&utm_content=Texas-Instruments,Single-Function Gates,NAND,CD4000,4 Gate,8 Input,4 Output,- 6.8 mA,6.8 mA,30 ns,18 V,3 V,- 55 C,+ 125 C,Through Hole,PDIP-14,Tube
